numElements,selectionSortTime,selectionSortComperes,insertionSortTime,insertionSortComperes,shellSortTime,shellSortComperes,mergeSortTime,mergeSortComperes
128,0.000053,4064,0.000036,8128,0.000017,1414,0.000016,896
256,0.000251,16642,0.000157,32640,0.000045,3827,0.000033,2048
512,0.000753,66553,0.000479,130816,0.000140,10407,0.000074,4608
1024,0.003197,265324,0.001801,523776,0.000311,25967,0.000163,10240
2048,0.011521,1055138,0.007276,2096128,0.000913,75831,0.000357,22528
4096,0.047308,4217847,0.034606,8386560,0.002278,180830,0.000863,49152
8192,0.211391,16829476,0.149401,33550336,0.006218,497984,0.002031,106496
16384,0.814055,67106244,0.550404,134209536,0.017212,1402984,0.004033,229376
32768,2.964176,268322644,2.178778,536854528,0.047269,3800513,0.007235,491520
65536,12.754903,1073472462,7.414883,2147450880,0.120485,10107832,0.016141,1048576
131072,47.459762,4299128956,33.797515,8589869056,0.326494,28398238,0.033570,2228224
