numElements,selectionSortTime,selectionSortComperes,insertionSortTime,insertionSortComperes,shellSortTime,shellSortComperes,mergeSortTime,mergeSortComperes
128,0.000038,2963,0.000030,8128,0.000007,936,0.000014,896
256,0.000143,11122,0.000117,32640,0.000018,2249,0.000029,2048
512,0.000562,43369,0.000500,130816,0.000036,4986,0.000062,4608
1024,0.001986,176443,0.001863,523776,0.000074,10953,0.000131,10240
2048,0.008966,696671,0.007481,2096128,0.000182,25815,0.000279,22528
4096,0.030815,2776788,0.029639,8386560,0.000380,54983,0.000590,49152
8192,0.135347,11250657,0.144763,33550336,0.000895,119383,0.001664,106496
16384,0.541208,44564357,0.479559,134209536,0.001724,261854,0.002638,229376
32768,2.006108,178838968,1.896480,536854528,0.004066,567743,0.006167,491520
65536,9.086743,715511725,8.317109,2147450880,0.008838,1199857,0.014251,1048576
131072,33.886176,2861418108,32.084854,8589869056,0.017267,2553592,0.025136,2228224
