numElements,selectionSortTime,selectionSortComperes,insertionSortTime,insertionSortComperes,shellSortTime,shellSortComperes,mergeSortTime,mergeSortComperes
128,0.000110,8255,0.000029,8128,0.000010,1217,0.000014,896
256,0.000424,32895,0.000111,32640,0.000020,2817,0.000026,2048
512,0.001674,131327,0.000434,130816,0.000046,6401,0.000056,4608
1024,0.006627,524799,0.001706,523776,0.000101,14337,0.000119,10240
2048,0.026430,2098175,0.006861,2096128,0.000227,31745,0.000266,22528
4096,0.091176,8390655,0.027142,8386560,0.000485,69633,0.000556,49152
8192,0.361558,33558527,0.108396,33550336,0.001019,151553,0.001175,106496
16384,1.405690,134225919,0.434439,134209536,0.002309,327681,0.002612,229376
32768,5.881066,536887295,1.958801,536854528,0.005236,704513,0.006474,491520
65536,24.096320,2147516415,7.898564,2147450880,0.011650,1507329,0.010850,1048576
131072,99.884780,8590000127,34.203170,8589869056,0.023124,3211265,0.023988,2228224
